deck_list,players
"<input name=""c"" type=""hidden"" value=""2 Disenchant||2 Island||2 Mountain||1 Plains||4 Hallowed Fountain||4 Mystical Dispute||4 Bonecrusher Giant||4 Fires of Invention||3 Castle Vantress||3 Fabled Passage||2 Kenrith, the Returned King||4 Deafening Clarion||4 Justice Strike||4 Steam Vents||3 Temple of Epiphany||2 Devout Decree||3 Aether Gust||3 Cavalier of Gales||4 Cavalier of Flame||2 Sacred Foundry||3 Shimmer of Possibility||4 Sphinx of Foresight||3 Temple of Triumph||1 Solar Blaze||4 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=msskinbolic"">msskinbolic</a>"
"<input name=""c"" type=""hidden"" value=""5 Forest||1 Mountain||2 Swamp||4 Blood Crypt||4 Cauldron Familiar||2 Epic Downfall||3 Murderous Rider||2 Beanstalk Giant||4 Gilded Goose||4 Trail of Crumbs||2 Wicked Wolf||4 Witch's Oven||1 Castle Locthwain||4 Fabled Passage||3 Lovestruck Beast||3 Korvold, Fae-Cursed King||4 Stomping Ground||2 Noxious Grasp||4 Overgrown Tomb||2 Thrashing Brontodon||4 Duress||3 Massacre Girl||4 Casualties of War||4 Mayhem Devil||""/>","<a class=""player"" href=""search?player=sebastianpozzo"">sebastianpozzo</a>"
"<input name=""c"" type=""hidden"" value=""1 Mountain||1 Plains||3 Swamp||4 Blood Crypt||4 Cauldron Familiar||2 Epic Downfall||2 Murderous Rider||4 Claim the Firstborn||4 Witch's Oven||3 Castle Locthwain||3 Fabled Passage||2 Embereth Shieldbreaker||2 Rankle, Master of Pranks||4 Midnight Reaper||4 Godless Shrine||2 Devout Decree||1 Legion's End||4 Sacred Foundry||2 Tithe Taker||2 Gutterbones||4 Priest of Forgotten Gods||4 Duress||4 Cruel Celebrant||3 Despark||4 Mayhem Devil||2 Sorin, Vengeful Bloodlord||""/>","<a class=""player"" href=""search?player=NoWa"">NoWa</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||1 Island||2 Mountain||4 Breeding Pool||4 Bonecrusher Giant||3 Embercleave||4 Rimrock Knight||2 Scorching Dragonfire||4 Edgewall Innkeeper||4 Questing Beast||4 The Royal Scions||2 Fabled Passage||2 Embereth Shieldbreaker||4 Lovestruck Beast||4 Steam Vents||4 Stomping Ground||2 Temple of Epiphany||4 Disdainful Stroke||2 Chandra, Awakened Inferno||2 Shifting Ceratops||2 Negate||2 Skarrgan Hellkite||3 Cindervines||4 Domri's Ambush||""/>","<a class=""player"" href=""search?player=Ichikawa+Norikazu"">Ichikawa Norikazu</a>"
"<input name=""c"" type=""hidden"" value=""5 Forest||9 Swamp||2 Blacklance Paragon||4 Foulmire Knight||4 Murderous Rider||4 Order of Midnight||4 Smitten Swordmaster||4 Edgewall Innkeeper||3 Lucky Clover||1 Castle Locthwain||2 Fabled Passage||2 Lovestruck Beast||4 Midnight Reaper||4 Find-Finality||3 Leyline of the Void||2 Temple of Malady||1 Cavalier of Night||2 Noxious Grasp||2 Reave Soul||4 Overgrown Tomb||1 Thrashing Brontodon||3 Drill Bit||3 Incubation-Incongruity||2 Casualties of War||""/>","<a class=""player"" href=""search?player=Voltaiclv"">Voltaiclv</a>"
"<input name=""c"" type=""hidden"" value=""7 Mountain||9 Swamp||4 Blood Crypt||4 Blacklance Paragon||3 Epic Downfall||2 Murderous Rider||2 Bonecrusher Giant||4 Embercleave||4 Stormfist Crusader||1 Castle Locthwain||3 Tournament Grounds||1 Rankle, Master of Pranks||4 Fervent Champion||2 Cavalier of Night||4 Knight of the Ebon Legion||2 Legion's End||3 Noxious Grasp||4 Rotting Regisaur||3 Unchained Berserker||4 Drill Bit||2 Gutterbones||3 Spawn of Mayhem||""/>","<a class=""player"" href=""search?player=Korhigan"">Korhigan</a>"
"<input name=""c"" type=""hidden"" value=""6 Mountain||8 Swamp||4 Blood Crypt||4 Cauldron Familiar||1 Epic Downfall||4 Claim the Firstborn||1 Redcap Melee||4 Witch's Oven||2 Castle Locthwain||4 Fabled Passage||2 Embereth Shieldbreaker||3 Midnight Reaper||2 Cavalier of Night||3 Noxious Grasp||2 Rotting Regisaur||2 Mask of Immolation||4 Gutterbones||4 Priest of Forgotten Gods||3 Rix Maadi Reveler||2 Judith, the Scourge Diva||3 Duress||3 Dreadhorde Butcher||4 Mayhem Devil||""/>","<a class=""player"" href=""search?player=LaCriaturaBB"">LaCriaturaBB</a>"
"<input name=""c"" type=""hidden"" value=""6 Mountain||9 Swamp||4 Blood Crypt||4 Blacklance Paragon||2 Epic Downfall||2 Murderous Rider||4 Bonecrusher Giant||4 Embercleave||4 Stormfist Crusader||1 Castle Locthwain||4 Tournament Grounds||3 Embereth Shieldbreaker||4 Fervent Champion||4 Knight of the Ebon Legion||2 Legion's End||2 Noxious Grasp||4 Rotting Regisaur||4 Drill Bit||4 Gutterbones||2 Duress||2 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Jibri+Thomas"">Jibri Thomas</a>"
"<input name=""c"" type=""hidden"" value=""6 Mountain||9 Swamp||4 Blood Crypt||4 Blacklance Paragon||2 Epic Downfall||2 Murderous Rider||2 Bonecrusher Giant||4 Embercleave||4 Stormfist Crusader||1 Castle Locthwain||4 Tournament Grounds||3 Embereth Shieldbreaker||4 Fervent Champion||2 Cavalier of Night||4 Knight of the Ebon Legion||2 Legion's End||2 Noxious Grasp||4 Rotting Regisaur||4 Drill Bit||4 Gutterbones||2 Spawn of Mayhem||1 Massacre Girl||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Josef+Navarro"">Josef Navarro</a>"
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Mountain||4 Swamp||4 Blood Crypt||4 Foulmire Knight||3 Murderous Rider||4 Order of Midnight||4 Bonecrusher Giant||3 Rimrock Knight||4 Beanstalk Giant||4 Edgewall Innkeeper||4 Lucky Clover||3 Embereth Shieldbreaker||4 Lovestruck Beast||4 Stomping Ground||4 Temple of Malady||3 Noxious Grasp||4 Shifting Ceratops||4 Overgrown Tomb||2 Bedevil||3 Cindervines||""/>","<a class=""player"" href=""search?player=Birdsof36"">Birdsof36</a>"
