player,url,deck_name,num,card_name,card_rarity
Tirentu,https://www.mtgtop8.com/event?e=23812&d=365506&f=ST,Gruul_Aggro,3,Shock,common
Tyler_Cook,https://www.mtgtop8.com/event?e=24214&d=368963&f=ST,Mono_Red_Aggro,4,Shock,common
Dylan_Nollen,https://www.mtgtop8.com/event?e=24108&d=368245&f=ST,Rakdos_Aggro,6,Mountain,common
Andy_Peters,https://www.mtgtop8.com/event?e=24240&d=369199&f=ST,Fires_of_Invention,2,Planar Cleansing,rare
Jamie_Katz,https://www.mtgtop8.com/event?e=24112&d=368271&f=ST,Jund_Sacrifice,5,Forest,common
Tomita_Hiroki,https://www.mtgtop8.com/event?e=23790&d=365307&f=ST,Bant_Ramp,6,Forest,common
Andrea_Gereon,https://www.mtgtop8.com/event?e=23942&d=366772&f=ST,Golgari_Sacrifice,8,Forest,common
Dom_Harvey,https://www.mtgtop8.com/event?e=24225&d=369061&f=ST,Jund_Sacrifice,4,Forest,common
Lukas261997,https://www.mtgtop8.com/event?e=24137&d=368460&f=ST,Fires_of_Invention,1,Disenchant,common
Biggoon86,https://www.mtgtop8.com/event?e=24042&d=367727&f=ST,Simic_Flash,9,Island,common
Biggoon86,https://www.mtgtop8.com/event?e=23947&d=366880&f=ST,Rakdos_Aristocrats,9,Island,common
Nishiura_Ryousuke,https://www.mtgtop8.com/event?e=23907&d=366409&f=ST,Temur_Reclamation,1,Forest,common
Brian_Weller-gordon,https://www.mtgtop8.com/event?e=24108&d=368240&f=ST,Simic_Flash,7,Forest,common
Ace_Ashley_Baron,https://www.mtgtop8.com/event?e=24144&d=368505&f=ST,Rakdos_Aggro,6,Mountain,common
Devon_Straub,https://www.mtgtop8.com/event?e=24113&d=368274&f=ST,Jund_Sacrifice,5,Forest,common
Ben_Stark,https://www.mtgtop8.com/event?e=23942&d=366779&f=ST,UW_Control,4,Planar Cleansing,rare
Yamade_Masato,https://www.mtgtop8.com/event?e=24122&d=368351&f=ST,Jund_Sacrifice,5,Forest,common
Matthew_Tyrell,https://www.mtgtop8.com/event?e=23956&d=366947&f=ST,UW_Control,4,Planar Cleansing,rare
Teemu_Halonen,https://www.mtgtop8.com/event?e=23996&d=367292&f=ST,Izzet,10,Island,common
Logan_Young,https://www.mtgtop8.com/event?e=24225&d=369066&f=ST,Adventure,7,Forest,common
Paul_Herr,https://www.mtgtop8.com/event?e=23739&d=364830&f=ST,Jund_Aggro,6,Forest,common
_Falcon_,https://www.mtgtop8.com/event?e=24200&d=368897&f=ST,Golgari_Citadel,7,Forest,common
_Falcon_,https://www.mtgtop8.com/event?e=24050&d=367816&f=ST,Golgari_Aggro,7,Forest,common
Venom1,https://www.mtgtop8.com/event?e=24240&d=369205&f=ST,Golgari_Aggro,11,Forest,common
Pierson_Laughlin,https://www.mtgtop8.com/event?e=23942&d=366819&f=ST,Golgari_Sacrifice,9,Forest,common
TeamGreed,https://www.mtgtop8.com/event?e=23812&d=365511&f=ST,Izzet_Control,3,Shock,common
Alex_Crowther,https://www.mtgtop8.com/event?e=23955&d=366937&f=ST,Adventure,4,Forest,common
spell_of_d,https://www.mtgtop8.com/event?e=24200&d=368894&f=ST,Jund_Sacrifice,1,Act of Treason,common
kbzx,https://www.mtgtop8.com/event?e=24050&d=367821&f=ST,Jund_Sacrifice,3,Forest,common
Jonathan_P,https://www.mtgtop8.com/event?e=23716&d=364617&f=ST,Selesnya_Adventure,8,Forest,common
Anders_Jones,https://www.mtgtop8.com/event?e=24108&d=368239&f=ST,Rakdos_Aggro,6,Mountain,common
Polgoal,https://www.mtgtop8.com/event?e=24107&d=368237&f=ST,Temur_Adventure,16,Plains,common
Polgoal,https://www.mtgtop8.com/event?e=24240&d=369218&f=ST,Weenie_White_,16,Plains,common
Arin_Huffstetter,https://www.mtgtop8.com/event?e=23827&d=365667&f=ST,Gruul_Aggro,8,Forest,common
Jason_Pitts,https://www.mtgtop8.com/event?e=23721&d=364650&f=ST,Sultai_Sacrifice,5,Forest,common
Shane_Crewe-wyatt,https://www.mtgtop8.com/event?e=23884&d=366187&f=ST,Izzet_Flash,2,Shock,common
Collins_Mullen,https://www.mtgtop8.com/event?e=24032&d=367624&f=ST,Simic_Ramp_Elemental,10,Forest,common
Lewis_Tolonen,https://www.mtgtop8.com/event?e=23955&d=366943&f=ST,Simic_Ramp,8,Forest,common
Trent_Clarke,https://www.mtgtop8.com/event?e=23704&d=364528&f=ST,Sultai_Food,7,Forest,common
Aydrez,https://www.mtgtop8.com/event?e=23947&d=366883&f=ST,Azorius_Control,3,Planar Cleansing,rare
Beedaawg,https://www.mtgtop8.com/event?e=23874&d=366099&f=ST,Izzet_Flash,2,Shock,common
Maximilian_Krebs,https://www.mtgtop8.com/event?e=23982&d=367127&f=ST,Izzet_Control,9,Island,common
Maesono_Kanta,https://www.mtgtop8.com/event?e=23968&d=367033&f=ST,Adventure,6,Forest,common
Justin_Kiser,https://www.mtgtop8.com/event?e=23997&d=367299&f=ST,Simic_Ramp,10,Forest,common
Koksal_Karakus,https://www.mtgtop8.com/event?e=24225&d=369065&f=ST,Jund_Sacrifice,5,Forest,common
Chantelle_Campbell,https://www.mtgtop8.com/event?e=23753&d=364983&f=ST,Sultai_Oven,5,Forest,common
ERUERUFU,https://www.mtgtop8.com/event?e=23812&d=365512&f=ST,Mono_Black_Aggro,20,Swamp,common
Slashora,https://www.mtgtop8.com/event?e=24042&d=367734&f=ST,G-b_Adventure,7,Forest,common
Martin_Williamsson,https://www.mtgtop8.com/event?e=23945&d=366859&f=ST,Temur_Reclamation,1,Forest,common
Gregory_Fenn,https://www.mtgtop8.com/event?e=24177&d=368755&f=ST,Simic_Ramp_Elemental,10,Forest,common
O_danielakos,https://www.mtgtop8.com/event?e=23772&d=365160&f=ST,Sultai_Control,6,Forest,common
Dylan_Hanrahan,https://www.mtgtop8.com/event?e=23955&d=366939&f=ST,Golgari_Aggro,8,Forest,common
Lee_Mcleod,https://www.mtgtop8.com/event?e=23827&d=365672&f=ST,Sultai_Emry,6,Forest,common
Lee_Mcleod,https://www.mtgtop8.com/event?e=24177&d=368759&f=ST,Adventure,6,Forest,common
Rhyan_Jacobz,https://www.mtgtop8.com/event?e=24214&d=368961&f=ST,Ur_Spells,4,Shock,common
daiho2000,https://www.mtgtop8.com/event?e=24131&d=368427&f=ST,Golgari_Aggro,10,Forest,common
Mason_Clark,https://www.mtgtop8.com/event?e=24225&d=369064&f=ST,Jund_Sacrifice,5,Forest,common
Reclamation,https://www.mtgtop8.com/event?e=23947&d=366884&f=ST,Cat_Henge,11,Forest,common
Drew_Christensen,https://www.mtgtop8.com/event?e=24108&d=368244&f=ST,Fires_of_Invention,1,Disenchant,common
