,num,name
242,1,Negate
243,1,Pulse of Murasa
244,3,Growth Spiral
245,1,Fling
246,2,Temple of Mystery
247,1,Planewide Celebration
248,1,Return to Nature
249,1,"Tamiyo, Collector of Tales"
250,1,"Sorcerous Spyglass, "
251,5,Forest
252,3,Island
253,2,Mountain
254,4,Breeding Pool
255,4,Brazen Borrower
256,4,Fae of Wishes
257,1,Frogify
258,2,Mystical Dispute
259,4,Bonecrusher Giant
260,4,Beanstalk Giant
261,1,Once and Future
262,4,Escape to the Wilds
263,4,Lucky Clover
264,1,Lava Coil
265,4,Steam Vents
266,4,Stomping Ground
267,2,Temple of Epiphany
268,1,Aether Gust
269,1,"Chandra, Awakened Inferno"
270,1,Flame Sweep
271,1,Fry
272,1,Negate
273,4,Growth Spiral
274,4,Hydroid Krasis
275,1,Fling
276,3,Temple of Mystery
277,1,Planewide Celebration
278,3,Return to Nature
279,1,"Sorcerous Spyglass, "
280,8,Forest
281,6,Swamp
282,2,Epic Downfall
283,4,Foulmire Knight
284,4,Murderous Rider
285,2,Order of Midnight
286,4,Edgewall Innkeeper
287,3,The Great Henge
288,3,Questing Beast
289,2,Fabled Passage
290,4,Lovestruck Beast
291,4,Temple of Malady
292,3,Noxious Grasp
293,4,Rotting Regisaur
294,3,Shifting Ceratops
295,4,"Vivien, Arkbow Ranger"
296,4,Overgrown Tomb
297,3,Thrashing Brontodon
298,3,Duress
299,4,Paradise Druid
300,1,"Casualties of War, "
301,4,Forest
302,2,Island
303,2,Mountain
304,4,Breeding Pool
305,3,Brazen Borrower
306,4,Fae of Wishes
307,4,Mystical Dispute
308,4,Bonecrusher Giant
309,4,Beanstalk Giant
310,2,Escape to the Wilds
311,4,Lucky Clover
312,1,Castle Vantress
313,1,Lava Coil
314,1,Expansion-Explosion
315,4,Steam Vents
316,4,Stomping Ground
317,3,Temple of Epiphany
318,1,Disdainful Stroke
319,2,Aether Gust
320,1,"Chandra, Awakened Inferno"
321,1,Flame Sweep
322,1,Mass Manipulation
323,4,Growth Spiral
324,3,Hydroid Krasis
325,1,Fling
326,3,Temple of Mystery
327,4,"Nissa, Who Shakes the World"
328,1,Planewide Celebration
329,1,Return to Nature
330,1,"Sorcerous Spyglass, "
331,4,Forest
332,2,Island
333,2,Mountain
334,4,Breeding Pool
335,3,Brazen Borrower
336,4,Fae of Wishes
337,4,Mystical Dispute
338,4,Bonecrusher Giant
339,4,Beanstalk Giant
340,2,Escape to the Wilds
341,4,Lucky Clover
342,1,Castle Vantress
343,1,Lava Coil
344,1,Expansion-Explosion
345,4,Steam Vents
346,4,Stomping Ground
347,3,Temple of Epiphany
348,1,Disdainful Stroke
349,2,Aether Gust
350,1,"Chandra, Awakened Inferno"
351,1,Flame Sweep
352,1,Mass Manipulation
353,4,Growth Spiral
354,3,Hydroid Krasis
355,1,Fling
356,3,Temple of Mystery
357,4,"Nissa, Who Shakes the World"
358,1,Planewide Celebration
359,1,Return to Nature
360,1,"Sorcerous Spyglass, "
361,4,Forest
362,2,Island
363,2,Mountain
364,4,Breeding Pool
365,3,Brazen Borrower
366,4,Fae of Wishes
367,4,Mystical Dispute
368,4,Bonecrusher Giant
369,4,Beanstalk Giant
370,2,Escape to the Wilds
371,4,Lucky Clover
372,1,Castle Vantress
373,1,Lava Coil
374,1,Expansion-Explosion
375,4,Steam Vents
376,4,Stomping Ground
377,3,Temple of Epiphany
378,1,Disdainful Stroke
