deck_list,players
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||2 Mountain||4 Breeding Pool||3 Brazen Borrower||4 Fae of Wishes||4 Mystical Dispute||4 Bonecrusher Giant||4 Beanstalk Giant||2 Escape to the Wilds||4 Lucky Clover||1 Castle Vantress||1 Lava Coil||1 Expansion-Explosion||4 Steam Vents||4 Stomping Ground||3 Temple of Epiphany||1 Disdainful Stroke||2 Aether Gust||1 Chandra, Awakened Inferno||1 Flame Sweep||1 Mass Manipulation||4 Growth Spiral||3 Hydroid Krasis||1 Fling||3 Temple of Mystery||4 Nissa, Who Shakes the World||1 Planewide Celebration||1 Return to Nature||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Harry13"">Harry13</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||2 Mountain||4 Breeding Pool||4 Brazen Borrower||4 Fae of Wishes||3 Mystical Dispute||4 Bonecrusher Giant||4 Beanstalk Giant||4 Edgewall Innkeeper||1 Once and Future||4 Escape to the Wilds||4 Lucky Clover||4 Lovestruck Beast||1 Expansion-Explosion||4 Steam Vents||4 Stomping Ground||1 Temple of Epiphany||1 Chandra, Awakened Inferno||1 Flame Sweep||1 Negate||2 Growth Spiral||1 Fling||3 Temple of Mystery||1 Planewide Celebration||3 Return to Nature||1 Tamiyo, Collector of Tales||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Jeffery+Mullins"">Jeffery Mullins</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||2 Mountain||4 Breeding Pool||4 Brazen Borrower||4 Fae of Wishes||2 Mystical Dispute||4 Bonecrusher Giant||4 Beanstalk Giant||4 Edgewall Innkeeper||1 Once and Future||4 Escape to the Wilds||4 Lucky Clover||4 Lovestruck Beast||1 Lava Coil||1 Expansion-Explosion||4 Steam Vents||4 Stomping Ground||1 Temple of Epiphany||1 Chandra, Awakened Inferno||1 Flame Sweep||1 Negate||1 Mass Manipulation||2 Growth Spiral||1 Fling||3 Temple of Mystery||1 Planewide Celebration||2 Return to Nature||1 Crushing Canopy||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Maesono+Kanta"">Maesono Kanta</a>"
"<input name=""c"" type=""hidden"" value=""8 Forest||5 Swamp||2 Epic Downfall||4 Foulmire Knight||4 Murderous Rider||2 Order of Midnight||4 Edgewall Innkeeper||3 The Great Henge||4 Questing Beast||1 Castle Locthwain||2 Fabled Passage||4 Lovestruck Beast||1 Assassin's Trophy||4 Temple of Malady||2 Noxious Grasp||4 Rotting Regisaur||2 Shifting Ceratops||3 Vivien, Arkbow Ranger||4 Overgrown Tomb||3 Thrashing Brontodon||3 Duress||1 Massacre Girl||4 Paradise Druid||1 Casualties of War||""/>","<a class=""player"" href=""search?player=Thomas+Barker"">Thomas Barker</a>"
"<input name=""c"" type=""hidden"" value=""7 Forest||11 Swamp||2 Epic Downfall||4 Foulmire Knight||4 Murderous Rider||4 Order of Midnight||2 Reaper of Night||4 Smitten Swordmaster||2 Beanstalk Giant||4 Edgewall Innkeeper||4 Lucky Clover||2 Fabled Passage||4 Lovestruck Beast||2 Midnight Reaper||2 Assassin's Trophy||2 Vraska, Golgari Queen||1 Temple of Malady||1 Noxious Grasp||2 Shifting Ceratops||4 Overgrown Tomb||2 Duress||1 Massacre Girl||3 Casualties of War||1 Disfigure||""/>","<a class=""player"" href=""search?player=VTCLA"">VTCLA</a>"
"<input name=""c"" type=""hidden"" value=""1 Disenchant||7 Island||3 Plains||4 Hallowed Fountain||3 Glass Casket||1 Realm-Cloaked Giant||4 Brazen Borrower||1 Gadwick, the Wizened||4 Mystical Dispute||3 Castle Ardenvale||2 Castle Vantress||3 Fabled Passage||1 Dawn of Hope||4 Chemister's Insight||4 Absorb||4 Tranquil Cove||2 Devout Decree||3 Aether Gust||1 Agent of Treachery||1 Mass Manipulation||1 Ugin, the Ineffable||1 Finale of Glory||4 Prison Realm||4 Dovin's Veto||4 Teferi, Time Raveler||4 Time Wipe||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=David+K"">David K</a>"
"<input name=""c"" type=""hidden"" value=""3 Planar Cleansing||8 Island||4 Plains||4 Hallowed Fountain||2 Giant Killer||3 Glass Casket||1 Realm-Cloaked Giant||4 Brazen Borrower||3 Gadwick, the Wizened||4 Mystical Dispute||2 Castle Ardenvale||3 Castle Vantress||2 Fabled Passage||2 Chemister's Insight||4 Absorb||4 Opt||4 Tranquil Cove||3 Devout Decree||3 Aether Gust||1 Mass Manipulation||1 Finale of Revelation||4 Dovin's Veto||4 Teferi, Time Raveler||2 Time Wipe||""/>","<a class=""player"" href=""search?player=Aydrez"">Aydrez</a>"
"<input name=""c"" type=""hidden"" value=""3 Planar Cleansing||7 Island||5 Plains||4 Hallowed Fountain||4 Giant Killer||3 Glass Casket||4 Brazen Borrower||2 Gadwick, the Wizened||4 Mystical Dispute||2 Castle Ardenvale||3 Castle Vantress||3 Fabled Passage||2 Chemister's Insight||4 Absorb||3 Opt||4 Tranquil Cove||3 Devout Decree||3 Aether Gust||1 Mass Manipulation||1 Finale of Revelation||3 Dovin's Veto||4 Teferi, Time Raveler||3 Time Wipe||""/>","<a class=""player"" href=""search?player=Ben+Metzger"">Ben Metzger</a>"
"<input name=""c"" type=""hidden"" value=""1 Planar Cleansing||7 Island||5 Plains||4 Hallowed Fountain||3 Brazen Borrower||3 Gadwick, the Wizened||4 Mystical Dispute||2 Castle Ardenvale||2 Castle Vantress||1 Fabled Passage||3 Chemister's Insight||4 Absorb||4 Tranquil Cove||2 Apostle of Purifying Light||2 Devout Decree||4 Aether Gust||1 Agent of Treachery||2 Essence Capture||1 Mass Manipulation||2 Deputy of Detention||1 Finale of Glory||3 Prison Realm||1 Finale of Revelation||3 Dovin's Veto||4 Teferi, Time Raveler||4 Time Wipe||2 Blast Zone||""/>","<a class=""player"" href=""search?player=Ryan+Tobin"">Ryan Tobin</a>"
"<input name=""c"" type=""hidden"" value=""7 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||4 Gilded Goose||2 Once Upon a Time||4 Questing Beast||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Fabled Passage||2 Knight of Autumn||4 Disdainful Stroke||3 Aether Gust||4 Veil of Summer||1 Vivien, Arkbow Ranger||2 Voracious Hydra||1 Negate||4 Temple Garden||4 Deputy of Detention||4 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||""/>","<a class=""player"" href=""search?player=Goshima+Akito"">Goshima Akito</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||2 Glass Casket||4 Gilded Goose||4 Once Upon a Time||2 Questing Beast||4 Wicked Wolf||2 Maraleaf Pixie||4 Oko, Thief of Crowns||3 Fabled Passage||1 Knight of Autumn||2 Disdainful Stroke||2 Aether Gust||2 Veil of Summer||1 Voracious Hydra||1 Negate||4 Temple Garden||4 Deputy of Detention||4 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Tamiyo, Collector of Tales||1 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Lance+Mutter"">Lance Mutter</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||1 Island||1 Plains||4 Breeding Pool||3 Hallowed Fountain||3 Glass Casket||4 Gilded Goose||4 Once Upon a Time||3 Questing Beast||4 Wicked Wolf||4 Oko, Thief of Crowns||3 Fabled Passage||2 Disdainful Stroke||3 Aether Gust||3 Veil of Summer||4 Temple Garden||2 Deputy of Detention||4 Hydroid Krasis||2 Temple of Mystery||4 Nissa, Who Shakes the World||4 Paradise Druid||2 Tamiyo, Collector of Tales||4 Teferi, Time Raveler||1 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Makoto+Horiuchi"">Makoto Horiuchi</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||2 Glass Casket||4 Gilded Goose||4 Once Upon a Time||4 Questing Beast||4 Wicked Wolf||4 Oko, Thief of Crowns||3 Fabled Passage||1 Knight of Autumn||2 Disdainful Stroke||2 Aether Gust||2 Veil of Summer||1 Voracious Hydra||1 Negate||4 Temple Garden||4 Deputy of Detention||4 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Tamiyo, Collector of Tales||1 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Niceguymtg"">Niceguymtg</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||2 Glass Casket||2 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||2 Questing Beast||4 Wicked Wolf||4 Oko, Thief of Crowns||1 Castle Vantress||2 Fabled Passage||2 Lovestruck Beast||2 Disdainful Stroke||1 Devout Decree||2 Aether Gust||2 Veil of Summer||4 Temple Garden||1 Mass Manipulation||2 Deputy of Detention||4 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Teferi, Time Raveler||2 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Sam+Birkenbile"">Sam Birkenbile</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||2 Glass Casket||4 Gilded Goose||2 Once Upon a Time||4 Questing Beast||4 Wicked Wolf||4 Oko, Thief of Crowns||3 Fabled Passage||1 Knight of Autumn||4 Disdainful Stroke||3 Aether Gust||2 Leafkin Druid||2 Veil of Summer||1 Voracious Hydra||1 Negate||4 Temple Garden||4 Deputy of Detention||4 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||1 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=tangrams"">tangrams</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||2 Glass Casket||4 Gilded Goose||4 Once Upon a Time||4 Questing Beast||4 Wicked Wolf||4 Oko, Thief of Crowns||3 Fabled Passage||2 Disdainful Stroke||3 Aether Gust||2 Veil of Summer||1 Voracious Hydra||1 Negate||4 Temple Garden||4 Deputy of Detention||4 Hydroid Krasis||1 Prison Realm||4 Nissa, Who Shakes the World||4 Paradise Druid||2 Tamiyo, Collector of Tales||1 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Yanase+Kaname"">Yanase Kaname</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||1 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||3 Aether Gust||3 Veil of Summer||3 Voracious Hydra||2 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||2 Growth Spiral||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=Abram+Goldstein"">Abram Goldstein</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||1 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||3 Aether Gust||2 Veil of Summer||4 Voracious Hydra||2 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||2 Growth Spiral||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=Antoine+Lagarde"">Antoine Lagarde</a>"
"<input name=""c"" type=""hidden"" value=""5 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||2 Realm-Cloaked Giant||1 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||2 Fabled Passage||1 Disdainful Stroke||2 Devout Decree||2 Aether Gust||2 Veil of Summer||2 Voracious Hydra||2 Negate||4 Temple Garden||2 Thrashing Brontodon||2 Mass Manipulation||4 Hydroid Krasis||2 Temple of Mystery||3 Arboreal Grazer||4 Nissa, Who Shakes the World||4 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=Brendan+Johnson"">Brendan Johnson</a>"
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||2 Plains||4 Breeding Pool||4 Hallowed Fountain||3 Mystical Dispute||4 Gilded Goose||4 Oko, Thief of Crowns||2 Castle Vantress||3 Fabled Passage||2 Knight of Autumn||4 Devout Decree||3 Veil of Summer||2 Negate||3 Temple Garden||2 Mass Manipulation||4 Growth Spiral||4 Hydroid Krasis||3 Temple of Mystery||4 Arboreal Grazer||4 Nissa, Who Shakes the World||4 Teferi, Time Raveler||4 Time Wipe||""/>","<a class=""player"" href=""search?player=Brener"">Brener</a>"
"<input name=""c"" type=""hidden"" value=""1 Disenchant||5 Forest||1 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||1 Glass Casket||2 Mystical Dispute||4 Gilded Goose||4 Wicked Wolf||4 Oko, Thief of Crowns||4 Fabled Passage||2 Knight of Autumn||2 Aether Gust||2 Veil of Summer||4 Temple Garden||4 Growth Spiral||4 Frilled Mystic||4 Hydroid Krasis||3 Temple of Mystery||2 Finale of Glory||2 Prison Realm||3 Nissa, Who Shakes the World||3 Dovin's Veto||3 Teferi, Time Raveler||2 Time Wipe||""/>","<a class=""player"" href=""search?player=Christian+Keffer"">Christian Keffer</a>"
